customer_id,customer_name,gender,age,city,state,signup_date,customer_segment
1,Aarav Sharma,Male,55,Jaipur,West Bengal,2023-04-30,Consumer
2,Priya Sharma,Other,19,Jaipur,West Bengal,2025-10-28,Small Business
3,Isha Roy,Male,47,Chennai,Assam,2023-07-21,Consumer
4,Aarav Mehta,Female,37,Imphal,Assam,2023-03-24,Consumer
5,Sara Brown,Female,47,Kolkata,Telangana,2024-11-06,Consumer
6,Arjun Sharma,Male,67,Pune,Rajasthan,2025-02-08,Small Business
7,Rohan Patel,Female,28,Delhi,Rajasthan,2023-09-11,Consumer
8,Aditya Gupta,Male,57,Mumbai,West Bengal,2025-06-26,Corporate
9,Kabir Taylor,Female,44,Hyderabad,Telangana,2022-03-29,Small Business
10,Aditya Gupta,Male,62,Mumbai,Telangana,2024-03-21,Consumer
11,Kabir Taylor,Female,51,Delhi,West Bengal,2025-02-08,Corporate
12,Aditi Wilson,Male,63,Chennai,Karnataka,2024-11-08,Consumer
13,Vikram Gupta,Female,25,Hyderabad,Manipur,2025-10-19,Small Business
14,Sara Singh,Male,30,Delhi,Assam,2023-05-15,Consumer
15,Vikram Wilson,Female,42,Guwahati,Assam,2023-06-21,Consumer
16,Rohan Brown,Male,33,Chennai,West Bengal,2022-06-20,Corporate
17,Aditi Smith,Female,42,Kolkata,Karnataka,2022-10-14,Consumer
18,Meera Brown,Male,55,Bengaluru,Assam,2024-04-23,Consumer
19,Meera Singh,Male,62,Delhi,Assam,2022-10-28,Consumer
20,Sara Brown,Male,68,Guwahati,Manipur,2022-01-26,Corporate
21,Aarav Sharma,Male,59,Pune,West Bengal,2025-10-12,Consumer
22,Ananya Mehta,Female,55,Chennai,Karnataka,2025-01-04,Consumer
23,Rohan Roy,Male,19,Mumbai,Telangana,2022-10-29,Consumer
24,Arjun Smith,Male,49,Bengaluru,Karnataka,2023-10-28,Consumer
25,Arjun Brown,Male,21,Kolkata,Karnataka,2022-11-23,Consumer
26,Meera Kumar,Male,55,Hyderabad,Telangana,2024-02-23,Consumer
27,Aditi Wilson,Male,51,Mumbai,Manipur,2025-12-14,Corporate
28,Arjun Kumar,Female,37,Bengaluru,Assam,2024-11-14,Consumer
